"03TA";"BI";"BO";"DI1";"B1";
"03TA";"BI";"BO";"DI2";"B1";
"03TA";"HA";"PR";"DI3";"LA3";
"03TA";"HA";"PR";"DI4";"LA3";
"03TA";"HA";"PR";"DI5";"LA3";
"03TA";"B1";"AM";"DO1";"B1";
"03TA";"B1";"AM";"DO2";"B1";
"03TA";"BI";"BO";"DO3";"B1";
"03TA";"BE";"PR";"DO4";"LA1";
"03TA";"BE";"PR";"DO5";"LA1";
"03TA";"PS";"TDO";"MI1";"LA2";
"03TA";"PS";"TDO";"MI2";"LA2";
"03TA";"PS";"TDO";"MI3";"B1";
"03TA";"BI";"RWO";"MI4";"B1";
"03TA";"BI";"RWO";"MI5";"B1";
"03TA";"LI";"TDO";"MO1";"B1";
"03TA";"LI";"TDO";"MO2";"B1";
"03TA";"LI";"TDO";"MO3";"B1";
"03TA";"BE";"SEP";"MO4";"B1";
"03TA";"BE";"SEP";"MO5";"B1";
"03TA";"PS";"PR";"MO7";"LA1";
"03TA";"PS";"PR";"MO8";"LA1";
"03TB";"PS";"PR";"DI1";"LA1";
"03TB";"PS";"PR";"DI2";"LA1";
"03TB";"HA";"PR";"DI3";"LA2";
"03TB";"HA";"PR";"DI4";"LA2";
"03TB";"HA";"PR";"DI5";"LA2";
"03TB";"PS";"TDO";"DO1";"B2";
"03TB";"PS";"TDO";"DO2";"B2";
"03TB";"B1";"AM";"DO3";"B2";
"03TB";"B1";"AM";"DO4";"B2";
"03TB";"BI";"RW";"MI1";"B2";
"03TB";"BI";"RW";"MI2";"B2";
"03TB";"BI";"RW";"MI3";"B2";
"03TB";"LI";"TDO";"MI4";"B2";
"03TB";"LI";"TDO";"MI5";"B2";
"03TB";"BI";"BO";"MO1";"B2";
"03TB";"BI";"BO";"MO2";"B2";
"03TB";"BI";"BO";"MO3";"B2";
"03TB";"BE";"SEP";"MO4";"B2";
"03TB";"BE";"SEP";"MO5";"B2";
